filename,eta,U,free_energy,kind,n_torons,separation,split
single_eta40_U0p00.png,40,0.0,9.292919874203249e-14,single,1,,train
single_eta40_U2p00.png,40,2.0,3.851540184907829e-14,single,1,,train
single_eta38_U0p00.png,38,0.0,1.0186554194439035e-13,single,1,,train
single_eta34_U0p50.png,34,0.5,1.211251673472304e-13,single,1,,train
single_eta39_U3p50.png,39,3.5,-6.683930138145057e-14,single,1,,train
single_eta36_U3p50.png,36,3.5,-5.1811605730932656e-14,single,1,,train
single_eta39_U0p50.png,39,0.5,9.37463676179658e-14,single,1,,train
single_eta31_U1p50.png,31,1.5,1.1689070246566884e-13,single,1,,train
single_eta33_U3p00.png,33,3.0,1.0387393741749403e-14,single,1,,train
single_eta35_U0p00.png,35,0.0,1.1819475206156854e-13,single,1,,train
single_eta33_U2p00.png,33,2.0,7.71919878362615e-14,single,1,,train
single_eta31_U0p50.png,31,0.5,1.441805344717382e-13,single,1,,train
single_eta38_U1p00.png,38,1.0,8.808973204440158e-14,single,1,,train
single_eta30_U2p50.png,30,2.5,7.231747226308912e-14,single,1,,train
single_eta34_U3p50.png,34,3.5,-3.9545525879585145e-14,single,1,,train
single_eta33_U3p50.png,33,3.5,-3.256983874282891e-14,single,1,,train
single_eta34_U1p50.png,34,1.5,9.382983563188723e-14,single,1,,train
single_eta35_U2p50.png,35,2.5,3.360755822106939e-14,single,1,,train
single_eta35_U2p00.png,35,2.0,6.37819262746434e-14,single,1,,train
single_eta32_U0p00.png,32,0.0,1.3925787087320934e-13,single,1,,train
single_eta35_U1p00.png,35,1.0,1.0442113832522939e-13,single,1,,train
single_eta34_U1p00.png,34,1.0,1.1083384146171519e-13,single,1,,train
single_eta30_U3p50.png,30,3.5,-7.330984086484429e-15,single,1,,train
single_eta36_U0p50.png,36,0.5,1.0882144190691714e-13,single,1,,train
single_eta37_U2p50.png,37,2.5,2.229313855383005e-14,single,1,,train
single_eta32_U1p50.png,32,1.5,1.0848573286651199e-13,single,1,,train
single_eta39_U0p00.png,39,0.0,9.72287799261896e-14,single,1,,train
single_eta33_U0p50.png,33,0.5,1.2812174311183476e-13,single,1,,train
single_eta35_U3p50.png,35,3.5,-4.593801305238153e-14,single,1,,train
single_eta31_U2p50.png,31,2.5,6.306689628551873e-14,single,1,,train
single_eta33_U0p00.png,33,0.0,1.316024354198063e-13,single,1,,train
single_eta30_U1p50.png,30,1.5,1.2614536878264137e-13,single,1,,train
single_eta32_U0p50.png,32,0.5,1.3577774660880732e-13,single,1,,train
single_eta34_U3p00.png,34,3.0,3.3997014949499998e-15,single,1,,train
single_eta31_U0p00.png,31,0.0,1.4765998859445425e-13,single,1,,train
single_eta38_U2p50.png,38,2.5,1.728444488532799e-14,single,1,,train
single_eta30_U3p00.png,30,3.0,3.566908434774771e-14,single,1,,train
single_eta37_U0p00.png,37,0.0,1.0687634425053278e-13,single,1,,train
single_eta34_U2p00.png,34,2.0,7.019450595589272e-14,single,1,,train
single_eta39_U3p00.png,39,3.0,-2.3941024145826166e-14,single,1,,train
single_eta40_U3p50.png,40,3.5,-7.112528089465474e-14,single,1,,train
single_eta36_U3p00.png,36,3.0,-8.88754276776621e-15,single,1,,train
single_eta35_U1p50.png,35,1.5,8.741664524819767e-14,single,1,,train
single_eta36_U1p00.png,36,1.0,9.8528782899158e-14,single,1,,train
single_eta35_U3p00.png,35,3.0,-3.003814275789049e-15,single,1,,train
single_eta40_U3p00.png,40,3.0,-2.8234273050964962e-14,single,1,,train
single_eta31_U3p50.png,31,3.5,-1.655740063872204e-14,single,1,,train
single_eta38_U3p00.png,38,3.0,-1.9310931105176172e-14,single,1,,train
single_eta33_U1p50.png,33,1.5,1.0082791078672232e-13,single,1,,train
single_eta35_U0p50.png,35,0.5,1.1471319726183634e-13,single,1,,train
single_eta37_U3p00.png,37,3.0,-1.4307142499505338e-14,single,1,,train
single_eta37_U1p00.png,37,1.0,9.310109469632356e-14,single,1,,train
single_eta36_U0p00.png,36,0.0,1.1230330774611789e-13,single,1,,train
single_eta39_U2p50.png,39,2.5,1.2649829292975557e-14,single,1,,train
single_eta37_U0p50.png,37,0.5,1.0339423677581332e-13,single,1,,train
single_eta34_U0p00.png,34,0.0,1.2460633372265978e-13,single,1,,train
single_eta40_U1p50.png,40,1.5,6.214710664023405e-14,single,1,,train
single_eta37_U1p50.png,37,1.5,7.609594064001787e-14,single,1,,train
single_eta37_U3p50.png,37,3.5,-5.722188576007136e-14,single,1,,train
single_eta39_U1p50.png,39,1.5,6.644705845192925e-14,single,1,,train
single_eta34_U2p50.png,34,2.5,4.001733304587554e-14,single,1,,train
single_eta33_U2p50.png,33,2.5,4.701181233439629e-14,single,1,,train
single_eta30_U0p50.png,30,0.5,1.5343260842656018e-13,single,1,,train
single_eta36_U2p00.png,36,2.0,5.788981110300295e-14,single,1,,train
single_eta32_U2p50.png,32,2.5,5.466586356345906e-14,single,1,,train
single_eta30_U1p00.png,30,1.0,1.431459146208416e-13,single,1,,train
single_eta32_U3p50.png,32,3.5,-2.493621822739306e-14,single,1,,train
single_eta40_U0p50.png,40,0.5,8.944670963398601e-14,single,1,,train
single_eta39_U1p00.png,39,1.0,8.345255395489962e-14,single,1,,train
single_eta40_U1p00.png,40,1.0,7.915268280703124e-14,single,1,,train
single_eta32_U2p00.png,32,2.0,8.484924710992564e-14,single,1,,train
single_eta37_U2p00.png,37,2.0,5.2462455205099624e-14,single,1,,train
single_eta38_U3p50.png,38,3.5,-6.221710055022598e-14,single,1,,train
single_eta31_U3p00.png,31,3.0,2.6427146706598e-14,single,1,,train
single_eta36_U1p50.png,36,1.5,8.152391252591861e-14,single,1,,train
single_eta39_U2p00.png,39,2.0,4.281477567059446e-14,single,1,,test
single_eta30_U0p00.png,30,0.0,1.5691128278120766e-13,single,1,,test
single_eta33_U1p00.png,33,1.0,1.1783130074395832e-13,single,1,,test
single_eta32_U3p00.png,32,3.0,1.8034087432976976e-14,single,1,,test
single_eta31_U2p00.png,31,2.0,9.325370009831239e-14,single,1,,test
single_eta38_U1p50.png,38,1.5,7.108437371049438e-14,single,1,,test
single_eta31_U1p00.png,31,1.0,1.3389238748479734e-13,single,1,,test
single_eta32_U1p00.png,32,1.0,1.2548835714616307e-13,single,1,,test
single_eta30_U2p00.png,30,2.0,1.0250791449178015e-13,single,1,,test
single_eta38_U2p00.png,38,2.0,4.745149615111258e-14,single,1,,test
single_eta40_U2p50.png,40,2.5,8.35240971533388e-15,single,1,,test
single_eta38_U0p50.png,38,0.5,9.838325467038038e-14,single,1,,test
single_eta36_U2p50.png,36,2.5,2.7718058732670624e-14,single,1,,test
